objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
50298,792,Комфорт,Другое,1,Нет,145,A
50116,442,Комфорт,Монолит-кирпич,1,Нет,0,B
50031,255,Типовой,Монолит-кирпич,1,Нет,0,B
49708,173,Типовой,Панель,1,Нет,0,A
49561,898,Комфорт,Монолит-кирпич,1,Нет,0,B
49560,556,Комфорт,Монолит-кирпич,1,Нет,0,B
49397,50,Типовой,Панель,1,Нет,0,B
49237,59,Комфорт,Панель,1,Нет,0,B
49236,59,Комфорт,Панель,1,Нет,0,B
49235,74,Комфорт,Панель,1,Нет,0,B
49158,103,Типовой,Панель,1,Нет,0,A
49072,147,Комфорт,Блоки,1,Нет,0,B
49071,158,Комфорт,Блоки,1,Нет,0,B
49070,211,Комфорт,Блоки,1,Нет,0,B
48763,1146,Типовой,Монолит-кирпич,1,Нет,0,B
48743,242,Комфорт,Монолит-кирпич,1,Нет,0,C
48742,220,Комфорт,Монолит-кирпич,1,Нет,0,C
48646,21,Типовой,Монолит-кирпич,1,Нет,0,B
48645,24,Типовой,Монолит-кирпич,1,Нет,0,B
48644,36,Типовой,Монолит-кирпич,1,Нет,0,B
48530,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48529,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48528,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48527,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48526,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48525,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48524,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48523,115,Комфорт,Монолит-кирпич,1,Нет,0,B
48521,539,Комфорт,Монолит-кирпич,2,Нет,140,A
48465,903,Комфорт,Монолит-кирпич,1,Нет,0,A
48464,769,Комфорт,Монолит-кирпич,1,Нет,0,A
48456,47,Комфорт,Панель,1,Нет,0,B
48455,59,Комфорт,Панель,1,Нет,0,B
48454,224,Комфорт,Панель,1,Нет,0,B
48453,111,Комфорт,Панель,1,Нет,0,B
48452,85,Комфорт,Панель,1,Нет,0,B
48451,162,Комфорт,Панель,1,Нет,0,B
48430,755,Комфорт,Монолит-кирпич,1,Нет,44,B
48424,175,Комфорт,Монолит-кирпич,1,Нет,0,A
48225,279,Комфорт,Монолит-кирпич,1,Нет,296,B
48146,224,Комфорт,Панель,1,Нет,0,B
48089,56,Комфорт,Кирпич,1,Нет,0,A
48087,35,Комфорт,Кирпич,1,Нет,0,A
48086,532,Комфорт,Панель,1,Нет,400,B
48054,332,Комфорт,Монолит,1,Нет,198,B
48046,110,Комфорт,Монолит-кирпич,1,Нет,0,B
48045,79,Комфорт,Монолит-кирпич,1,Нет,0,B
48044,66,Комфорт,Монолит-кирпич,1,Нет,0,B
48043,142,Комфорт,Монолит-кирпич,1,Нет,0,B
48042,136,Комфорт,Монолит-кирпич,1,Нет,0,B
47985,426,Комфорт,Другое,1,Нет,318,B
47749,178,Типовой,Кирпич,1,Нет,0,C
47671,190,Комфорт,Другое,1,Нет,0,B
47670,180,Комфорт,Другое,1,Нет,0,B
47669,418,Комфорт,Другое,1,Нет,0,B
47668,635,Комфорт,Другое,1,Нет,0,B
